0.915,0,0,0,0,0,0,-3.014983e-16,-5.004676
0.915,0,0,0,0,0,0,-3.014983e-16,-5.004676
0.915,0,0,0,0,0,0,-3.014983e-16,-5.004676
0.915,0,0,0,0,0,0,-3.014983e-16,-5.004676
0.915,0,0,0,4.68,0,0,-3.014983e-16,-10.00114
0.915,0,0,0,4.68,0,0,-3.014983e-16,-10.00114
0.915,1.875,0,0,4.68,0,0.915,0,-10.02261
0.915,1.875,1.875,0,4.68,0,0.915,0,-10.02261
0.915,1.875,1.875,0,4.68,0,0.915,0,-10.02261
0.915,1.875,1.875,5,4.68,0,0.915,-79.97966,-10.00176
0.915,1.875,1.875,5,4.68,0,0.915,-79.97966,-10.00176
0.915,1.875,1.875,5,4.68,0,0.915,-79.97966,-10.00176
0.915,1.875,1.875,5,4.68,1.38,0.915,-79.97966,-10.00176
0.75,2.04,1.845,5,5,1.38,0.915,-80.00436,-10.00398
0.6,2.205,1.8,5,5,1.47,0.945,-51.85627,-10
0.465,2.34,1.755,5,5,1.575,0.9899999,-35.35465,-10.00211
0.465,2.355,1.695,5,5,1.725,1.065,13.0885,-10.00211
0.54,2.265,1.665,5,5,1.86,1.11,22.28627,-10.00228
0.615,2.19,1.62,5,5,1.86,1.14,30.27928,-10.00228
0.69,2.115,1.59,5,5,1.905,1.185,40.18414,-10.00345
0.765,2.04,1.56,5,5,1.905,1.215,46.79368,-10.00345
0.84,1.95,1.53,5,5,1.92,1.245,52.27853,-10.00385
0.93,1.875,1.515,5,5,1.935,1.26,52.8547,-10.00211
1.005,1.785,1.5,5,5,1.92,1.275,48.18689,-10.11291
1.08,1.71,1.485,5,5,1.92,1.29,22.91037,-11.31603
1.14,1.65,1.485,5,5,1.905,1.305,15.22332,-11.43535
1.2,1.59,1.47,5,5,1.905,1.305,8.738042,-11.42554
1.245,1.545,1.47,5,5,1.89,1.32,5.062458,-11.40176
1.275,1.515,1.47,5,5,1.875,1.32,2.197767,-11.40176
1.32,1.47,1.485,5,5,1.86,1.32,-2.210553,-11.40176
1.275,1.515,1.47,5,5,1.845,1.305,1.325847,-11.42554
1.245,1.545,1.455,5,5,1.89,1.32,5.727311,-11.28527
1.29,1.5,1.47,5,5,1.89,1.335,1.411617,-11.34879
1.32,1.47,1.47,5,5,1.875,1.32,-1.820305,-11.40176
1.29,1.5,1.455,5,5,1.86,1.32,0.994099,-11.28527
1.335,1.455,1.47,5,5,1.875,1.335,-2.644398,-11.25749
1.29,1.5,1.455,5,5,1.86,1.32,0.994099,-11.28527
1.335,1.455,1.455,5,5,1.89,1.335,-2.225803,-11.25749
1.305,1.485,1.455,5,5,1.86,1.335,0.4897621,-11.25749
1.335,1.455,1.455,5,5,1.875,1.335,-2.225803,-11.25749
1.305,1.485,1.455,5,5,1.86,1.335,0.4897621,-11.25749
1.335,1.455,1.455,5,5,5,1.32,90,-11.99828
1.905,0.915,1.575,5,4.725,5,1.32,90,-11.99828
2.475,0.48,1.815,5,4.485,5,1.215,83.87286,-7.84836
2.61,0.39,1.95,5,4.38,5,1.11,82.36949,-7.106063
2.715,0.36,2.1,4.92,4.275,5,1.035,81.97746,-6.916047
2.82,0.33,2.25,4.185,4.2,5,0.96,81.62003,-6.753118
2.895,0.315,2.4,3.63,4.11,5,0.915,81.46313,-6.678341
2.985,0.315,2.58,3.45,4.035,5,0.9,81.46313,-6.678341
3.06,0.33,2.58,3.45,4.035,5,1.05,81.62003,-6.753118
3.15,0.345,2.985,3.06,3.915,5,1.2,81.78014,-6.832757
3.225,0.375,3.21,2.865,3.87,5,1.32,82.17274,-7.008453
3.33,0.42,3.48,2.7,3.825,5,1.44,82.82631,-7.320435
3.435,0.48,3.795,2.595,3.81,5,1.545,83.87286,-7.84836
3.585,0.555,4.215,2.475,3.84,5,1.635,85.49614,-8.751229
3.825,0.66,4.785,2.4,3.84,5,1.71,88.54469,-10.80465
4.095,0.825,5,2.34,4.14,5,1.755,90,-11.99828
5,1.17,5,2.535,5,4.995,1.785,90,-11.99828
5,2.055,1.245,3,5,3.615,1.695,90,-12.00072
5,4.515,1.2,4.005,5,2.88,1.635,80.09706,-10.00008
5,5,1.185,4.485,5,2.31,1.575,79.95741,-9.996909
5,5,1.185,5,5,2.31,1.575,-1.317432e-15,-10.00408
5,5,1.17,5,5,2.22,1.56,-1.200083e-15,-10.00022
5,5,1.155,5,5,2.25,1.575,-1.235729e-15,-10.00143
5,5,1.14,5,5,2.25,1.59,-1.235729e-15,-10.00143
5,5,1.14,4.98,5,2.28,1.605,-1.275273e-15,-10.00272
5,5,1.125,4.89,5,2.28,1.62,79.2,-9.96
5,5,1.14,4.575,4.59,2.295,1.62,0,-10.00485
5,4.155,1.14,4.305,4.305,2.19,1.605,-1.315247e-15,-10.00644
2.52,2.055,1.14,4.02,4.035,2.19,1.605,-5.5137e-17,-10.00748
1.62,1.14,1.14,3.75,4.035,2.19,1.605,-5.5137e-17,-10.00748
1.62,1.14,1.14,3.465,3.48,2.19,1.605,5.366394e-16,-9.999516
1.62,1.125,1.14,3.465,3.48,2.19,1.605,5.366394e-16,-9.999516
1.62,1.125,1.14,2.91,3.195,2.19,1.605,-1.168596e-15,-9.999208
1.62,1.125,1.14,2.64,2.64,2.19,1.605,-1.168596e-15,-9.999208
1.605,1.14,1.14,2.355,2.355,2.19,1.605,-1.168596e-15,-9.999208
1.605,1.14,1.14,2.085,2.085,2.19,1.605,-1.168596e-15,-9.999208
1.605,1.14,1.14,1.8,1.8,2.19,1.605,-1.168596e-15,-9.999208
1.605,1.14,1.14,1.53,1.53,2.19,1.605,-1.168596e-15,-9.999208
1.605,1.14,1.14,1.245,1.53,2.1,1.605,-3.282804e-17,-10.00347
1.605,1.14,1.155,0.96,1.245,1.725,1.605,3.852208e-16,-10.00263
1.605,1.14,1.155,0.69,0.69,1.335,1.59,-3.706957e-16,-6.115267
1.605,1.14,1.155,0.525,0.525,0.96,1.59,-3.336874e-16,-5.564601
1.605,1.14,1.155,0.36,0.36,0.51,1.59,-3.099802e-16,-5.285111
